seed,truth,estimate,error,ci_low,ci_high,covered,design,leakage_pct
3000,0.0926193874136591,0.1321993768356033,0.0395799894219441,0.1244621081091432,0.1383070686315702,False,V1 compset control,0
3000,0.0926193874136591,0.0945694260358386,0.0019500386221795,0.0585052929579164,0.1286372744900461,True,V3 EG-overall LY,0
3000,0.0926193874136591,0.0813313415507035,-0.0112880458629555,0.0725958159743532,0.0886654133517813,False,V4 clean control,0
3000,0.0926193874136591,0.1321993768356033,0.0395799894219441,0.1244621081091432,0.1383070686315702,False,V1 compset control,10
3000,0.0926193874136591,0.0945694260358386,0.0019500386221795,0.0585052929579164,0.1286372744900461,True,V3 EG-overall LY,10
3000,0.0926193874136591,0.0845152681565442,-0.0081041192571148,0.0757540212575706,0.0918709347689801,False,V4 clean control,10
3000,0.0926193874136591,0.1321993768356033,0.0395799894219441,0.1244621081091432,0.1383070686315702,False,V1 compset control,25
3000,0.0926193874136591,0.0945694260358386,0.0019500386221795,0.0585052929579164,0.1286372744900461,True,V3 EG-overall LY,25
3000,0.0926193874136591,0.0893192908699635,-0.0033000965436955,0.0805192347164441,0.096707540508675,True,V4 clean control,25
3000,0.0926193874136591,0.1321993768356033,0.0395799894219441,0.1244621081091432,0.1383070686315702,False,V1 compset control,50
3000,0.0926193874136591,0.0945694260358386,0.0019500386221795,0.0585052929579164,0.1286372744900461,True,V3 EG-overall LY,50
3000,0.0926193874136591,0.097401842776863,0.0047824553632038,0.0885364918000161,0.1048449118901826,True,V4 clean control,50
3000,0.0926193874136591,0.1321993768356033,0.0395799894219441,0.1244621081091432,0.1383070686315702,False,V1 compset control,100
3000,0.0926193874136591,0.0945694260358386,0.0019500386221795,0.0585052929579164,0.1286372744900461,True,V3 EG-overall LY,100
3000,0.0926193874136591,0.1138570744237394,0.0212376870100803,0.1048587900051318,0.1214117502627352,False,V4 clean control,100
3001,0.093489978048465,0.1272314910924855,0.0337415130440205,0.115574649617065,0.1451296309825238,False,V1 compset control,0
3001,0.093489978048465,0.2455838426143031,0.152093864565838,0.1712206057498901,0.3716766911618077,False,V3 EG-overall LY,0
3001,0.093489978048465,0.0786864309679525,-0.0148035470805124,0.0683316684539811,0.0995263279622656,True,V4 clean control,0
3001,0.093489978048465,0.1272314910924855,0.0337415130440205,0.115574649617065,0.1451296309825238,False,V1 compset control,10
3001,0.093489978048465,0.2455838426143031,0.152093864565838,0.1712206057498901,0.3716766911618077,False,V3 EG-overall LY,10
