seed,truth,estimate,error,ci_low,ci_high,covered,drift_pct,divergence,error_growth,flagged
3000,0.09261938741365916,0.0813899914110861,-0.011229396002573055,0.07265837548900944,0.08872400127458552,False,0,0.016301784298564874,0.7562660679158958,False
3000,0.09250384416114743,0.07300201192632812,-0.019501832234819313,0.055630424010619434,0.08549465196551985,False,10,0.01040172637967299,1.2384306642444785,False
3000,0.09238808357910488,0.07846483634883974,-0.01392324723026514,0.0486832492751821,0.1027015791506824,True,20,0.004385062083232862,1.3326760520585375,False
3000,0.09221415696839563,0.07869458919663136,-0.013519567771764274,0.030902779260066064,0.11457888063711169,True,35,0.004343189056800167,1.4001328321690105,False
3001,0.09348997804846504,0.07869208441207401,-0.01479789363639103,0.06830957417908481,0.09950310868760784,True,0,0.007961404542767168,0.8001849726558992,False
3001,0.09337322040926699,0.07904026158131591,-0.014332958827951076,0.06669723419545424,0.0938127301151231,True,10,0.01958611601411303,0.9415550576060387,False
3001,0.09325604429225143,0.08568916531274826,-0.007566878979503172,0.06911434458486308,0.11100176181082093,True,20,0.030477244616445257,1.737086635701815,True
3001,0.0930796197347683,0.09755768385122028,0.004478064116451977,0.07138570343957987,0.1367526210132672,True,35,0.046585365316187524,2.924810443694936,True
3002,0.0927917157596796,0.0803188079746419,-0.012472907785037693,0.06640756073010598,0.08904578548196405,False,0,0.011665466455801422,0.8523420036241769,False
3002,0.09267218551231116,0.07411633508274768,-0.01855585042956348,0.05743258643311463,0.09737388287849014,True,10,0.018578539124392605,1.1305749187960383,False
3002,0.09255253858315671,0.08060596751226458,-0.011946571070892129,0.05303533075408418,0.11524172315273526,True,20,0.02548410226192881,1.4645467142440198,True
3002,0.09237297539910316,0.09553115179029564,0.00315817639119248,0.054174189395605324,0.14427712066481357,True,35,0.03591253930148333,2.114105228833376,True
3003,0.09327848961196339,0.08844830020647845,-0.004830189405484936,0.06969918542155565,0.10673994312844712,True,0,0.027259704577120215,0.6243681463340461,True
3003,0.0931610235869802,0.09130113276640653,-0.0018598908205736675,0.08634258406159662,0.09769407276804906,True,10,0.019022216812606754,0.7926181879085652,False
3003,0.09304330107496983,0.09440672904857605,0.0013634279736062238,0.08155837773179314,0.1043638623790744,True,20,0.0004313563471195239,1.360852544017058,False
3003,0.0928663631661939,0.1019905211197153,0.009124157953521395,0.08294211763202025,0.12296843937412817,True,35,0.020166966053626147,1.909352977613102,True
3004,0.092437467295714,0.0801269609103556,-0.01231050638535841,0.071971935199815,0.08772008631780512,False,0,0.008237217586122007,0.7573457856732722,False
3004,0.0923210730266375,0.07767558147014063,-0.014645491556496873,0.06947788776339527,0.08672335794840218,False,10,0.0016074228013141653,0.8034076438720039,False
3004,0.09220459896953237,0.08208284305207823,-0.010121755917454137,0.06151909630261257,0.10675885612723963,True,20,0.005113931008398654,1.037793244284353,False
3004,0.09202986426670101,0.10119170413776862,0.009161839871067612,0.06703609412037925,0.13900951049670787,True,35,0.015273366262470604,1.7244027321031992,False
3005,0.09224215754573017,0.09749045679942468,0.005248299253694508,0.0863860047293085,0.1069373612500444,True,0,0.0009478119726477099,0.7173981082176888,False
3005,0.09212747041959224,0.09319720277625719,0.0010697323566649514,0.07004093068696474,0.109483924511703,True,10,0.00881589376804785,0.8766206067781126,False
3005,0.09201260886959406,0.11335976558744092,0.021347156717846857,0.07515578087995856,0.14189548266259838,True,20,0.01870838115851656,1.210784780335096,False
3005,0.09184011492794997,0.12933648091588235,0.03749636598793238,0.08712304597995274,0.16602101274706535,True,35,0.033637470643381115,1.6918835617352974,True
