test,result,statistic,threshold,detail
Cohorts are comparable,PASS,0.9923,0.8,"pre-period weekly growth correlation with the treated cohort: compset 0.99, distant 0.99"
Predictors unaffected by the campaign,FAIL,0.0859,0.02,"CONTAMINATED: other_products_volume -4.7%, meta_impressions +3.3%, market_visitors +8.6%"
Quiet period reads as quiet,PASS,0.0074,0.035,placebo intervention 16 weeks early: treated +0.14%; compset +0.74%
