driver,metric,lift,ci_low,ci_high,log_contribution,significant,share_of_movement
Traffic (visits),visits,0.009330171637577255,-0.0009992882708610533,0.01904143111404018,0.009286914442718777,False,0.07200212145370403
Conversion rate,cvr,0.08508912173940604,0.0814563578567181,0.08853158880131352,0.08166212347111708,True,0.6331323679787666
Length of stay,los,0.010721281526852982,0.009431298534953588,0.011853637643304441,0.010664216102043511,True,0.08268044114371031
Average daily rate,adr,-0.026996761482681653,-0.027807175772553483,-0.02602281168394153,-0.027367868417993404,True,0.2121850694238191
