outcome,backend,actual,counterfactual,absolute_uplift,relative_uplift,ci_low,ci_high,relative_ci_low,relative_ci_high,p_value,significant,material,verdict
gbv,bsts,440226987.1150852,408016945.2194241,32210041.895661056,0.07894290242857212,29214267.534523547,35524409.06157023,0.07107874316964374,0.08777905303304674,0.0009995002498750624,True,True,material effect
room_nights,bsts,2377655.494209813,2145017.6344526033,232637.85975720966,0.10845498704563218,216722.8030327079,249080.04101714632,0.10029132509196964,0.11701724768250486,0.0009995002498750624,True,True,material effect
