driver,metric,lift,ci_low,ci_high,log_contribution,significant,share_of_movement
Traffic (visits),visits,0.0247436084817712,0.014785911137279268,0.03859079970374568,0.024442443234062698,True,0.1757961868958446
Conversion rate,cvr,0.08430255280815295,0.08127749024183734,0.08867087832303079,0.08093697183072932,True,0.58211901692831
Length of stay,los,0.008701047857113571,0.007941306342358616,0.009547395011662803,0.008663411897498008,True,0.06230943291977522
Average daily rate,adr,-0.024685896141044984,-0.02619002290451322,-0.02335882105781655,-0.02499570206191638,True,0.17977536325607033
