seed,truth,estimate,error,ci_low,ci_high,covered,design,halo_bps
3000,0.0926193874136591,0.1322017012372353,0.0395823138235762,0.1243804280759658,0.1383114017005177,False,A: competitor-set control,0
3000,0.0926193874136591,0.1094633186445414,0.0168439312308822,0.0901403578200785,0.1218294501299935,True,C: market-wide prior-year,0
3000,0.0926193874136591,0.0827969944931672,-0.0098223929204919,0.073755723806626,0.0904832024035434,False,D: clean-pool control,0
3000,0.0926193874136591,0.1265695966256995,0.0339502092120403,0.1187872301615242,0.1326489045607628,False,A: competitor-set control,50
3000,0.0926193874136591,0.1094633186445414,0.0168439312308822,0.0901403578200785,0.1218294501299935,True,C: market-wide prior-year,50
3000,0.0926193874136591,0.0775698665440292,-0.0150495208696298,0.0685722419693092,0.0852189698148514,False,D: clean-pool control,50
3000,0.0926193874136591,0.1209932517739617,0.0283738643603026,0.1132494068172876,0.1270424680772191,False,A: competitor-set control,100
3000,0.0926193874136591,0.1094633186445414,0.0168439312308822,0.0901403578200785,0.1218294501299935,True,C: market-wide prior-year,100
3000,0.0926193874136591,0.0723937260506562,-0.0202256613630029,0.0634393218464674,0.0800060866151282,False,D: clean-pool control,100
3000,0.0926193874136591,0.1100045615063422,0.0173851740926831,0.1023366266531186,0.1159944795362038,False,A: competitor-set control,200
3000,0.0926193874136591,0.1094633186445414,0.0168439312308822,0.0901403578200785,0.1218294501299935,True,C: market-wide prior-year,200
3000,0.0926193874136591,0.0621914375939014,-0.0304279498197577,0.0533222217048159,0.0697313774639687,False,D: clean-pool control,200
3001,0.093489978048465,0.1272267968871148,0.0337368188386498,0.1155689902940416,0.1451231390792649,False,A: competitor-set control,0
3001,0.093489978048465,0.1664579077711191,0.072967929722654,0.1093505884079378,0.2810491748634848,False,C: market-wide prior-year,0
3001,0.093489978048465,0.0793747167987304,-0.0141152612497345,0.0628417716996982,0.110135059081863,True,D: clean-pool control,0
3001,0.093489978048465,0.1215677877391282,0.0280778096906631,0.1099685067545109,0.1393742850442858,False,A: competitor-set control,50
3001,0.093489978048465,0.1664579077711191,0.072967929722654,0.1093505884079378,0.2810491748634848,False,C: market-wide prior-year,50
3001,0.093489978048465,0.0739259177741697,-0.0195640602742953,0.0574764327504263,0.1045309785592098,True,D: clean-pool control,50
3001,0.093489978048465,0.115965062100617,0.0224750840521519,0.1044237246390494,0.1336826081002235,False,A: competitor-set control,100
3001,0.093489978048465,0.1664579077711191,0.072967929722654,0.1093505884079378,0.2810491748634848,False,C: market-wide prior-year,100
3001,0.093489978048465,0.0685314619733833,-0.0249585160750817,0.0521646046415855,0.0989827899497142,True,D: clean-pool control,100
3001,0.093489978048465,0.104925140624117,0.0114351625756519,0.0934979782954785,0.1224674120356252,False,A: competitor-set control,200
3001,0.093489978048465,0.1664579077711191,0.072967929722654,0.1093505884079378,0.2810491748634848,False,C: market-wide prior-year,200
3001,0.093489978048465,0.057902367886504,-0.035587610161961,0.0416983179896553,0.0880507847725681,False,D: clean-pool control,200
3002,0.0927917157596796,0.1105524906789121,0.0177607749192325,0.0994437575878124,0.1226387085238109,False,A: competitor-set control,0
3002,0.0927917157596796,-0.0013744576702094,-0.094166173429889,-0.0742287511350002,0.0585213460054381,False,C: market-wide prior-year,0
3002,0.0927917157596796,0.0779755859558744,-0.0148161298038052,0.0677036041713716,0.0871435090897738,False,D: clean-pool control,0
3002,0.0927917157596796,0.1051333504979597,0.0123416347382801,0.0940788244635806,0.1171605914738597,False,A: competitor-set control,50
3002,0.0927917157596796,-0.0013744576702094,-0.094166173429889,-0.0742287511350002,0.0585213460054381,False,C: market-wide prior-year,50
3002,0.0927917157596796,0.0728174041861274,-0.0199743115735521,0.0625945744880639,0.0819414582244818,False,D: clean-pool control,50
3002,0.0927917157596796,0.099767351776509,0.0069756360168294,0.0887665012307394,0.111736194225507,True,A: competitor-set control,100
3002,0.0927917157596796,-0.0013744576702094,-0.094166173429889,-0.0742287511350002,0.0585213460054381,False,C: market-wide prior-year,100
3002,0.0927917157596796,0.0677093204253621,-0.0250823953343174,0.0575351654320211,0.0767899314396903,False,D: clean-pool control,100
3002,0.0927917157596796,0.0891916725624032,-0.0036000431972763,0.07829660935999,0.1010454191794509,True,A: competitor-set control,200
3002,0.0927917157596796,-0.0013744576702094,-0.094166173429889,-0.0742287511350002,0.0585213460054381,False,C: market-wide prior-year,200
3002,0.0927917157596796,0.0576405371945715,-0.035151178565108,0.0475623271922728,0.066635515628798,False,D: clean-pool control,200
3003,0.0932784896119633,0.1187676859110124,0.025489196299049,0.1106238063370483,0.1266291218691562,False,A: competitor-set control,0
3003,0.0932784896119633,0.0195878409474254,-0.0736906486645379,-0.1470788098613673,0.1883408686234148,True,C: market-wide prior-year,0
3003,0.0932784896119633,0.0843022191893227,-0.0089762704226406,0.061118834312534,0.1066332539624274,True,D: clean-pool control,0
3003,0.0932784896119633,0.1132476096949556,0.0199691200829922,0.1051439125793415,0.1210702567908511,False,A: competitor-set control,50
3003,0.0932784896119633,0.0195878409474254,-0.0736906486645379,-0.1470788098613673,0.1883408686234148,True,C: market-wide prior-year,50
3003,0.0932784896119633,0.0790448789206202,-0.0142336106913431,0.0559739008440027,0.1012676395923935,True,D: clean-pool control,50
3003,0.0932784896119633,0.107781962746999,0.0145034731350356,0.0997180518811118,0.1155662034480796,False,A: competitor-set control,100
