seed,truth,estimate,error,ci_low,ci_high,covered,declared_significant,backtest_mape,specification,arm
5000,0.0925651238868656,0.1240725858456815,0.0315074619588158,0.1109552749505013,0.1374855863567663,False,True,0.0116906737316377,A: competitor-set control,effect
5000,0.0925651238868656,-0.0321993010171544,-0.1247644249040201,-0.1368903658902987,0.052561347798176,False,False,0.0616260284178905,B: own prior-year,effect
5000,0.0925651238868656,-0.0202303453170325,-0.1127954692038981,-0.1333141901118476,0.0659823600024948,False,False,0.0629558147720109,C: market-wide prior-year,effect
5000,0.0925651238868656,0.0529374117756552,-0.0396277121112104,0.0394262202282917,0.0643870918497314,False,True,0.0145697393770738,D: clean-pool control,effect
5000,0.0925651238868656,0.0045825651016894,-0.0879825587851762,-0.0225682320512493,0.0173515550354163,False,False,0.0142901104229053,D: no prior-campaign control,effect
5001,0.0939008569232435,0.1362693062456934,0.0423684493224498,0.1279738321248139,0.148330064582495,False,True,0.0114240679959945,A: competitor-set control,effect
5001,0.0939008569232435,0.1034223498363769,0.0095214929131334,0.0310612710250715,0.224939129803578,True,True,0.0487303866981896,B: own prior-year,effect
5001,0.0939008569232435,0.1004764576018417,0.0065756006785981,0.0280925467174955,0.2213932449319363,True,True,0.0487393846320587,C: market-wide prior-year,effect
5001,0.0939008569232435,0.0929101273486691,-0.0009907295745743,0.0853627825008042,0.1041511271600061,True,True,0.0154072892695085,D: clean-pool control,effect
5001,0.0939008569232435,0.0642052628519051,-0.0296955940713384,0.0283772916061182,0.1073535917596528,True,True,0.0250379698228998,D: no prior-campaign control,effect
5002,0.0927287478701095,0.1195076443264311,0.0267788964563216,0.1087483319607746,0.1312411288866621,False,True,0.0127432075753391,A: competitor-set control,effect
5002,0.0927287478701095,0.1198592819311678,0.0271305340610582,0.0594158534818984,0.1980496656773118,True,True,0.0464771009744599,B: own prior-year,effect
5002,0.0927287478701095,0.1119975156075824,0.0192687677374729,0.0507686410715099,0.1888165142830806,True,True,0.0463879099097738,C: market-wide prior-year,effect
5002,0.0927287478701095,0.0962740863833082,0.0035453385131987,0.0910635643643723,0.101470430832257,True,True,0.0105753048168017,D: clean-pool control,effect
5002,0.0927287478701095,0.0781182602485553,-0.0146104876215541,0.055858122905362,0.1114841751022912,True,True,0.0177063764391456,D: no prior-campaign control,effect
5003,0.0934777767352934,0.1137661232091118,0.0202883464738183,0.1037677327028886,0.1206942079037224,False,True,0.0108122203324086,A: competitor-set control,effect
5003,0.0934777767352934,0.0772320361804559,-0.0162457405548374,0.0266413148445381,0.1686072132445058,True,True,0.0457489664800078,B: own prior-year,effect
5003,0.0934777767352934,0.0791532375779007,-0.0143245391573926,0.0285871384314745,0.170974036289121,True,True,0.0458132483694719,C: market-wide prior-year,effect
5003,0.0934777767352934,0.0708797589489643,-0.022598017786329,0.0565750242714285,0.0805600158424301,False,True,0.0129926593144427,D: clean-pool control,effect
5003,0.0934777767352934,0.0462779872205617,-0.0471997895147316,0.0259745056709661,0.0676090570021296,False,True,0.0146743437625465,D: no prior-campaign control,effect
5004,0.0947101133575214,0.1424372374582226,0.0477271241007012,0.1346045603355351,0.150131407171418,False,True,0.0130480648015249,A: competitor-set control,effect
5004,0.0947101133575214,0.1772703724480759,0.0825602590905544,0.1095566608316367,0.2473859698139988,False,True,0.0482749988471723,B: own prior-year,effect
5004,0.0947101133575214,0.1626970344518087,0.0679869210942872,0.0953749557175624,0.231810522706128,False,True,0.0477034358934722,C: market-wide prior-year,effect
5004,0.0947101133575214,0.1144161848370328,0.0197060714795113,0.102693088386338,0.1295828444975815,False,True,0.0178377374359432,D: clean-pool control,effect
5004,0.0947101133575214,0.0715076247725911,-0.0232024885849302,0.0527083772647293,0.0925694358690199,False,True,0.0204910915048455,D: no prior-campaign control,effect
5005,0.0929955818913201,0.1185612355917796,0.0255656537004594,0.1124128654375381,0.1285324510221413,False,True,0.0101284363997059,A: competitor-set control,effect
5005,0.0929955818913201,0.02602048869446,-0.0669750931968601,-0.0412563844504601,0.1262339542382491,True,False,0.0636250573114493,B: own prior-year,effect
5005,0.0929955818913201,0.0278824435682364,-0.0651131383230837,-0.0345898919449835,0.0903025393731442,False,False,0.0635182092389566,C: market-wide prior-year,effect
5005,0.0929955818913201,0.0626594631087084,-0.0303361187826117,0.0496369190007521,0.0767119936991683,False,True,0.0143426795222065,D: clean-pool control,effect
5005,0.0929955818913201,0.0440548211872117,-0.0489407607041084,0.0220174768117743,0.0706495957848408,False,True,0.0194927871073419,D: no prior-campaign control,effect
5006,0.0919922644180539,0.1137701002839,0.021777835865846,0.1056275976046665,0.1206974064185163,False,True,0.0112920261197992,A: competitor-set control,effect
5006,0.0919922644180539,0.1304565454215983,0.0384642810035444,-0.0001430187857638,0.3445596402602001,True,False,0.1033727740110796,B: own prior-year,effect
5006,0.0919922644180539,0.1335373657737855,0.0415451013557315,0.0037459337981398,0.3489007483924541,True,True,0.102903701690588,C: market-wide prior-year,effect
5006,0.0919922644180539,0.0840406359297336,-0.0079516284883203,0.073351010782585,0.096471257176604,True,True,0.0120386935485056,D: clean-pool control,effect
5006,0.0919922644180539,0.0335876176798669,-0.058404646738187,0.013720921337734,0.0590249671566639,False,True,0.015696152709198,D: no prior-campaign control,effect
5007,0.0938475177031876,0.1038228277796877,0.0099753100765001,0.090500052334361,0.1131866115560795,True,True,0.0089949142382867,A: competitor-set control,effect
5007,0.0938475177031876,0.0459282166573731,-0.0479193010458145,-0.1521952772780234,0.2308051554097662,True,False,0.1069451642533635,B: own prior-year,effect
5007,0.0938475177031876,0.0516045368434961,-0.0422429808596914,-0.1460940825180663,0.2352161837544413,True,False,0.1051016509366635,C: market-wide prior-year,effect
5007,0.0938475177031876,0.0793253950255293,-0.0145221226776583,0.0573183974063363,0.1077699607622219,True,True,0.0198215150699062,D: clean-pool control,effect
5007,0.0938475177031876,0.0624677674256404,-0.0313797502775472,-0.0070931238812919,0.1027857149338068,True,False,0.0338735134547614,D: no prior-campaign control,effect
5008,0.0936559129359546,0.1291959742023523,0.0355400612663976,0.1217340751038202,0.1382154900127941,False,True,0.0138752798598167,A: competitor-set control,effect
5008,0.0936559129359546,0.1246181319783176,0.0309622190423629,0.0640233614230044,0.1666183044242234,True,True,0.0349604935686872,B: own prior-year,effect
5008,0.0936559129359546,0.1196868946685678,0.0260309817326131,0.0597966472035,0.1620202385064786,True,True,0.0345576723818571,C: market-wide prior-year,effect
5008,0.0936559129359546,0.0789004681240186,-0.014755444811936,0.0663452226570538,0.0875841422584775,False,True,0.0144646071131916,D: clean-pool control,effect
5008,0.0936559129359546,0.0368229631124265,-0.056832949823528,0.0181178822171269,0.0516429320067089,False,True,0.0168675122965371,D: no prior-campaign control,effect
5009,0.0934107868537215,0.1130770039455437,0.0196662170918222,0.0995330630199775,0.125803518107402,False,True,0.0129535727681818,A: competitor-set control,effect
