week,actual,counterfactual,pointwise_uplift,cumulative_actual,cumulative_counterfactual,cumulative_uplift,relative_uplift,counterfactual_low,counterfactual_high
2025-04-07,80103002.77162462,72805158.1095279,7297844.662096724,80103002.77162462,72805158.1095279,7297844.662096724,0.10023801680531844,70433610.07181506,74758573.813324
2025-04-14,79307930.29721878,73029019.04611744,6278911.251101345,159410933.06884342,145834177.15564534,13576755.913198084,0.08597830469468919,70697615.39859451,74447246.21307416
2025-04-21,80758896.14986806,75191116.12276489,5567780.027103171,240169829.2187115,221025293.27841023,19144535.94030127,0.07404837584818705,72395803.20264457,76773959.03891608
2025-04-28,80461187.51289801,75823373.69035664,4637813.822541371,320631016.7316095,296848666.96876687,23782349.762842655,0.06116601777020662,73661022.47228898,77608639.94424468
2025-05-05,75511987.15253083,71363593.92375311,4148393.2287777215,396143003.8841404,368212260.89251995,27930742.99162042,0.05813038554658531,69434484.47626911,73897626.06787457
