seed,truth,estimate,error,ci_low,ci_high,covered,condition
3000,0.09261938741365916,0.08133134155070357,-0.011288045862955592,0.07259581597435322,0.08866541335178137,False,"repeat 85%, indicator on"
3000,0.09261938741365916,0.039549108696174916,-0.053070278717484244,0.03263686093641127,0.04413457117452562,False,"repeat 85%, indicator off"
3000,0.09261938741365916,0.08695890589567923,-0.005660481517979932,0.07634929880146255,0.09571208715357298,True,"repeat 0%, indicator on"
3000,0.09261938741365916,0.09820911831120331,0.005589730897544151,0.08658485097914638,0.1076604821611059,True,"repeat 0%, indicator off"
3001,0.09348997804846504,0.07868643096795255,-0.014803547080512486,0.06833166845398118,0.09952632796226565,True,"repeat 85%, indicator on"
3001,0.09348997804846504,0.0787505249705596,-0.014739453077905446,0.050040581819675106,0.11029377136892772,True,"repeat 85%, indicator off"
3001,0.09348997804846504,0.08250837857494239,-0.010981599473522646,0.07290931228626793,0.09953529573060656,True,"repeat 0%, indicator on"
3001,0.09348997804846504,0.08470480637578359,-0.008785171672681447,0.07715744173924576,0.10045387281570015,True,"repeat 0%, indicator off"
3002,0.0927917157596796,0.08033747926635584,-0.01245423649332375,0.06645717800489084,0.08905612212625884,False,"repeat 85%, indicator on"
3002,0.0927917157596796,0.05477846296265318,-0.038013252797026414,0.032365993615924384,0.07417051767726718,False,"repeat 85%, indicator off"
3002,0.0927917157596796,0.0866388050633771,-0.006152910696302499,0.07362033063168677,0.09896461431014518,True,"repeat 0%, indicator on"
3002,0.0927917157596796,0.08847657722127962,-0.0043151385383999735,0.07636278128467672,0.09988558263071388,True,"repeat 0%, indicator off"
3003,0.09327848961196317,0.08850139632771567,-0.004777093284247497,0.06975194008899327,0.10681359576666857,True,"repeat 85%, indicator on"
3003,0.09327848961196317,0.049557375886795034,-0.04372111372516813,0.02088696571256557,0.07640889242033042,False,"repeat 85%, indicator off"
3003,0.09327848961196317,0.0958120109053279,0.002533521293364732,0.07714437778309009,0.11238000707868886,True,"repeat 0%, indicator on"
3003,0.09327848961196317,0.10587049602893595,0.012592006416972779,0.08483229121031863,0.12300018236643537,True,"repeat 0%, indicator off"
3004,0.092437467295714,0.0801719370374404,-0.012265530258273608,0.072016035075738,0.08772094393072051,False,"repeat 85%, indicator on"
3004,0.092437467295714,0.030553494867424792,-0.06188397242828921,-0.0025830022971670545,0.06491299080981357,False,"repeat 85%, indicator off"
3004,0.092437467295714,0.08790331598555497,-0.0045341513101590375,0.07651580779002107,0.09633638586487317,True,"repeat 0%, indicator on"
3004,0.092437467295714,0.08996786323465743,-0.0024696040610565767,0.0784853028638133,0.09855640528178612,True,"repeat 0%, indicator off"
3005,0.09224215754573017,0.09749045679942468,0.005248299253694508,0.0863860047293085,0.1069373612500444,True,"repeat 85%, indicator on"
3005,0.09224215754573017,0.045987242538241456,-0.04625491500748872,0.037048037028990156,0.06693935828025015,False,"repeat 85%, indicator off"
3005,0.09224215754573017,0.10273077285501808,0.010488615309287908,0.09564173538545415,0.11108347740694823,False,"repeat 0%, indicator on"
3005,0.09224215754573017,0.09512601940411909,0.002883861858388917,0.08834128693949302,0.10271994983511976,True,"repeat 0%, indicator off"
3006,0.09323103212800699,0.08682531240450284,-0.00640571972350415,0.0704833707745492,0.1014471387259773,True,"repeat 85%, indicator on"
3006,0.09323103212800699,0.0615633326881986,-0.031667699439808385,0.035822367856151796,0.09343236819260681,True,"repeat 85%, indicator off"
3006,0.09323103212800699,0.09748063100672169,0.004249598878714705,0.07874939262964221,0.11224689455251421,True,"repeat 0%, indicator on"
3006,0.09323103212800699,0.09795812880310358,0.00472709667509659,0.08095616162178657,0.11217336145101195,True,"repeat 0%, indicator off"
