leakage_pct,design,draws,mean_truth,mean_estimate,bias_pp,rmse_pp,coverage,width_pp
0,V1 compset control,6,0.09280986594586849,0.11799893331398997,2.5189067368121454,2.671289831264899,0.16666666666666666,2.24403383668403
0,V3 EG-overall LY,6,0.09280986594586849,0.11210899634334763,1.9299130397479134,7.649387401541624,0.8333333333333334,17.661201403977735
0,V4 clean control,6,0.09280986594586849,0.08441984032493206,-0.839002562093635,1.0820362671217996,0.5,2.386352034341238
10,V1 compset control,6,0.09280986594586849,0.11799893331398997,2.5189067368121454,2.671289831264899,0.16666666666666666,2.24403383668403
10,V3 EG-overall LY,6,0.09280986594586849,0.11210899634334763,1.9299130397479134,7.649387401541624,0.8333333333333334,17.661201403977735
10,V4 clean control,6,0.09280986594586849,0.08769061391127791,-0.5119252034590517,0.8522138272075076,0.5,2.39353781795091
25,V1 compset control,6,0.09280986594586849,0.11799893331398997,2.5189067368121454,2.671289831264899,0.16666666666666666,2.24403383668403
25,V3 EG-overall LY,6,0.09280986594586849,0.11210899634334763,1.9299130397479134,7.649387401541624,0.8333333333333334,17.661201403977735
25,V4 clean control,6,0.09280986594586849,0.09262612982867933,-0.01837361171891334,0.6787635077477224,0.8333333333333334,2.404380916563317
50,V1 compset control,6,0.09280986594586849,0.11799893331398997,2.5189067368121454,2.671289831264899,0.16666666666666666,2.24403383668403
50,V3 EG-overall LY,6,0.09280986594586849,0.11210899634334763,1.9299130397479134,7.649387401541624,0.8333333333333334,17.661201403977735
50,V4 clean control,6,0.09280986594586849,0.10093114336294878,0.8121277417080233,1.0555169107662423,0.8333333333333334,2.422626455471755
100,V1 compset control,6,0.09280986594586849,0.11799893331398997,2.5189067368121454,2.671289831264899,0.16666666666666666,2.24403383668403
100,V3 EG-overall LY,6,0.09280986594586849,0.11210899634334763,1.9299130397479134,7.649387401541624,0.8333333333333334,17.661201403977735
100,V4 clean control,6,0.09280986594586849,0.11784401284985013,2.5034146903981602,2.590799431845315,0.0,2.4597821302588514
