outcome,backend,actual,counterfactual,absolute_uplift,relative_uplift,ci_low,ci_high,relative_ci_low,relative_ci_high,p_value,significant,material,verdict
gbv,bsts,402773840.46396416,369424772.6076861,33349067.856278062,0.09027296036720688,30057515.63362366,38225917.77268529,0.08064448383715353,0.10485841611846818,0.0009995002498750624,True,True,material effect
room_nights,bsts,2219132.9279325414,1983853.522436993,235279.4054955484,0.11859716598760171,218444.89927770873,257587.15213209018,0.10918488847288234,0.13131845063721553,0.0009995002498750624,True,True,material effect
