week,actual,counterfactual,pointwise_uplift,cumulative_actual,cumulative_counterfactual,cumulative_uplift,relative_uplift,counterfactual_low,counterfactual_high
2024-12-02,55256183.28251891,50359646.713178344,4896536.569340564,55256183.28251891,50359646.713178344,4896536.569340564,0.097231352658779,48554734.92959955,52099889.55741185
2024-12-09,54683760.0254444,50317014.3476802,4366745.6777642,109939943.30796331,100676661.06085855,9263282.247104764,0.0867846738200897,48043415.82173953,52203793.847585775
2024-12-16,47206088.21493214,41074223.68597487,6131864.52895727,157146031.52289546,141750884.7468334,15395146.776062042,0.14928741139059057,39840670.961718366,42797942.08050138
2024-12-23,47174348.13835095,42234237.12221198,4940111.016138971,204320379.66124642,183985121.86904538,20335257.792201042,0.11696934413291084,41041996.95645618,43012841.76692833
2024-12-30,65584151.98220385,60654390.82184701,4929761.160356842,269904531.64345026,244639512.6908924,25265018.95255786,0.08127624552089639,59081248.36011105,62720693.884563796
2025-01-06,70814557.79753575,67376310.12032574,3438247.677210003,340719089.44098604,312015822.81121814,28703266.629767895,0.051030513114620236,65828204.129371285,70252793.22990566
2025-01-13,62054751.02297812,57408949.796467975,4645801.226510145,402773840.46396416,369424772.6076861,33349067.856278062,0.0809246858369803,55861682.2978379,59573371.320656836
